date,Portfolio 1_balance,benchmark_balance
2025-01-31,85228.29811689064,74732.51342874889
2025-02-28,84916.85230092902,73783.80386351341
2025-03-31,84000.37831773146,69672.62886448426
2025-04-30,85589.56812125935,69068.55559053489
2025-05-31,89439.4625290281,73409.16434121388
2025-06-30,92783.66717816843,77181.38454465498
2025-07-31,93873.52190299823,78958.983474807
2025-08-31,96279.34160648307,80579.18107637939
2025-09-30,102320.0213518262,83449.44649261591
2025-10-31,105684.26497546345,85438.66379238488
2025-11-30,107057.47180261131,85605.26960653231
2025-12-31,107484.45189792,85673.54006230178
2026-01-31,112289.45746918429,86936.18117341577
2026-02-28,114423.4004456407,86184.87467512798
2026-03-31,107008.50053306863,81929.10291245069
2026-04-30,114907.14462575619,90535.9753059224
2026-05-31,119830.12406259791,95300.49918338133
2026-06-30,115236.02405898891,94319.61246340536
2026-07-31,113111.9374886711,94352.45258779312
2026-08-31,118821.87669993617,96881.04194930806
