point,ex_ante_sharpe,ex_post_sharpe,expected_return_pct,volatility_pct,maximum_drawdown_pct,mdd_depth_pct,tuw_pct,pain_area_pct_months,pain_index_pct,max_underwater_months,observations,delta_sharpe,delta_mdd_depth_pct,delta_tuw_pct,delta_pain_index_pct,mdd_cost_per_0_10_sharpe,tuw_cost_per_0_10_sharpe,pain_cost_per_0_10_sharpe,segment
43,1.3435471727686197,1.3435471727686195,19.393115986983958,11.576544198528005,-11.32709149215183,11.32709149215183,47.22222222222222,164.90078140659196,1.5268590870980736,8,108,0.00010212555823918557,0.059359879158591866,-0.9259259259259238,0.008668555954893575,58.12441095261058,-906.6544574055961,8.48813568743603,gmv_to_max_sharpe
44,1.3435489721713685,1.3435489721713685,19.45235189263241,11.620617824431871,-11.386500428884395,11.386500428884395,46.2962962962963,165.97539648807165,1.5368092267414042,8,108,1.7994027490253472e-06,0.059408936732564754,-0.9259259259259238,0.00995013964333058,3301.591973489193,-51457.40309819215,552.9690142309779,gmv_to_max_sharpe
45,1.3434527061540271,1.3434527061540265,19.511587798280885,11.665542797204642,-11.445958423190984,11.445958423190984,46.2962962962963,167.07178878426774,1.5469610072617384,8,108,-9.626601734202822e-05,0.05945799430658916,0.0,0.010151780520334164,,,,post_max_sharpe
46,1.3432604135669082,1.3432604135669084,19.570823703929342,11.711311363323423,-11.502247242419749,11.502247242419749,46.2962962962963,168.14238172135424,1.556873904827354,8,108,-0.0001922925871180592,0.05628881922876516,0.0,0.009912897565615753,,,,post_max_sharpe
47,1.342783288071909,1.342783288071909,19.63005960957781,11.759586964796584,-11.472752495362093,11.472752495362093,47.22222222222222,168.56738522866678,1.5608091224876555,8,108,-0.000477125494999342,-0.029494747057656312,0.9259259259259238,0.00393521766030136,,,,post_max_sharpe
48,1.3418641888228957,1.3418641888228957,19.689295515226277,11.811786087315804,-11.461119763275695,11.461119763275695,46.2962962962963,169.2108498320708,1.5667671280747297,8,108,-0.0009190992490133443,-0.011632732086397368,-0.9259259259259238,0.0059580055870742665,,,,post_max_sharpe
49,1.3405157069331273,1.340515706933127,19.74853142087473,11.867856959804858,-11.576069917939103,11.576069917939103,46.2962962962963,170.25445945097607,1.5764301801016303,8,108,-0.0013484818897686601,0.11495015466340774,0.0,0.009663052026900543,,,,post_max_sharpe
50,1.338751339334037,1.3387513393340371,19.807767326523194,11.9277449805174,-11.691020072602509,11.691020072602509,46.2962962962963,171.29801861134771,1.5860927649198862,8,108,-0.0017643675990899332,0.11495015466340597,0.0,0.009662584818255882,,,,post_max_sharpe
51,1.3365853766457358,1.3365853766457356,19.86700323217166,11.991392958206134,-11.805970227265927,11.805970227265927,46.2962962962963,172.41256072618276,1.596412599316507,8,108,-0.0021659626883014926,0.1149501546634184,0.0,0.010319834396620875,,,,post_max_sharpe
52,1.3340327903406597,1.33403279034066,19.92623913782012,12.05874135604381,-11.920920381929335,11.920920381929335,44.44444444444444,173.62725775551326,1.6076597940325301,8,108,-0.0025525863050757103,0.11495015466340774,-1.8518518518518547,0.01124719471602309,,,,post_max_sharpe
53,1.331109120593075,1.331109120593075,19.985475043468583,12.129728536195485,-12.035870536592764,12.035870536592764,44.44444444444444,175.02449492162384,1.6205971752002208,8,108,-0.002923669747584956,0.11495015466342906,0.0,0.01293738116769072,,,,post_max_sharpe
54,1.3278303660917168,1.3278303660917161,20.044710949117057,12.204291003070065,-12.15082069125616,12.15082069125616,45.370370370370374,176.44412612117733,1.6337419085294198,8,108,-0.003278754501358838,0.11495015466339531,0.9259259259259309,0.013144733329198965,,,,post_max_sharpe
55,1.324212876960879,1.3242128769608787,20.103946854765518,12.282363643429004,-12.265770845919576,12.265770845919576,46.2962962962963,178.0284571944259,1.6484116406891287,8,108,-0.0036174891308373702,0.11495015466341663,0.9259259259259238,0.014669732159708904,,,,post_max_sharpe
56,1.320273251791931,1.320273251791931,20.163182760413974,12.363879961695863,-12.380721000582984,12.380721000582984,46.2962962962963,179.62431965674804,1.6631881449698893,8,108,-0.003939625168947858,0.11495015466340774,0.0,0.014776504280760605,,,,post_max_sharpe
57,1.316028239637264,1.316028239637264,20.222418666062445,12.44877230898736,-12.495671155246402,12.495671155246402,46.2962962962963,181.25077282337583,1.6782478965127392,8,108,-0.004245012154666883,0.1149501546634184,0.0,0.015059751542849886,,,,post_max_sharpe
58,1.3114946476666198,1.31149464766662,20.281654571710902,12.53697210457072,-12.610621309909797,12.610621309909797,46.2962962962963,182.97872439274195,1.694247448080944,8,108,-0.004533591970643958,0.11495015466339531,0.0,0.015999551568204762,,,,post_max_sharpe
59,1.306689255035563,1.3066892550355629,20.340890477359373,12.628410048638209,-12.725571464573216,12.725571464573216,45.370370370370374,184.7409484701298,1.710564337686387,8,108,-0.00480539263105717,0.1149501546634184,-0.9259259259259238,0.016316889605443086,,,,post_max_sharpe
