portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
provided,21,2022-01-31,0,0.0,-0.004054531774670633,-0.004054531774670633,True
provided,21,2022-02-28,1,100.0,0.0,-0.004054531774670633,True
provided,22,2021-11-30,0,0.0,-0.0032663318716813494,-0.0032663318716813494,True
provided,22,2021-12-31,1,100.0,0.0,-0.0032663318716813494,True
benchmark,1,2020-03-31,0,0.0,-0.17409914440200758,-0.17409914440200758,True
benchmark,1,2020-04-30,1,58.61320532217832,-0.07205405542950316,-0.17409914440200758,True
benchmark,1,2020-05-31,2,95.52618020779104,-0.007788881980323459,-0.17409914440200758,True
benchmark,1,2020-06-30,3,87.08476025108727,-0.02248532190032504,-0.17409914440200758,True
benchmark,1,2020-07-31,4,100.0,0.0,-0.17409914440200758,True
benchmark,2,2022-06-30,0,0.0,-0.13403069997862338,-0.13403069997862338,True
benchmark,2,2022-07-31,1,63.574439040728414,-0.048821434324851865,-0.13403069997862338,True
benchmark,2,2022-08-31,2,59.378644405965375,-0.05444508724349029,-0.13403069997862338,True
benchmark,2,2022-09-30,3,36.09343033554347,-0.08565442265359768,-0.13403069997862338,True
benchmark,2,2022-10-31,4,87.1442792681153,-0.01723061248424207,-0.13403069997862338,True
benchmark,2,2022-11-30,5,75.48778427795668,-0.032853894312524834,-0.13403069997862338,True
benchmark,2,2022-12-31,6,0.49838655626405276,-0.13336270898866331,-0.13403069997862338,True
benchmark,2,2023-01-31,7,25.47740102723241,-0.0998831610454628,-0.13403069997862338,True
benchmark,2,2023-02-28,8,54.76323032163193,-0.060631159047634386,-0.13403069997862338,True
benchmark,2,2023-03-31,9,68.70314084802598,-0.041947399392714635,-0.13403069997862338,True
benchmark,2,2023-04-30,10,100.0,0.0,-0.13403069997862338,True
benchmark,3,2018-12-31,0,0.0,-0.1322198192146652,-0.1322198192146652,True
benchmark,3,2019-01-31,1,47.91266939817413,-0.06886977435547914,-0.1322198192146652,True
benchmark,3,2019-02-28,2,74.7400502966081,-0.03339865983154011,-0.1322198192146652,True
benchmark,3,2019-03-31,3,100.0,0.0,-0.1322198192146652,True
benchmark,4,2020-10-31,0,0.0,-0.10692297529071504,-0.10692297529071504,True
benchmark,4,2020-11-30,1,70.20254054905686,-0.03186033020599277,-0.10692297529071504,True
benchmark,4,2020-12-31,2,88.51947341863234,-0.012275320599839712,-0.10692297529071504,True
benchmark,4,2021-01-31,3,100.0,0.0,-0.10692297529071504,True
benchmark,5,2025-04-30,0,0.0,-0.08727139198411604,-0.08727139198411604,True
benchmark,5,2025-05-31,1,24.081943061576364,-0.0662547450574561,-0.08727139198411604,True
benchmark,5,2025-06-30,2,61.07649349212642,-0.03396908593844927,-0.08727139198411604,True
benchmark,5,2025-07-31,3,100.0,0.0,-0.08727139198411604,True
benchmark,6,2026-07-31,0,0.0,-0.08234183406494822,-0.08234183406494822,False
benchmark,6,2026-08-31,1,0.8593307500953918,-0.0816342453646356,-0.08234183406494822,False
benchmark,7,2018-03-31,0,0.0,-0.07198459036003235,-0.07198459036003235,True
benchmark,7,2018-04-30,1,15.753114184027009,-0.06064477564571236,-0.07198459036003235,True
benchmark,7,2018-05-31,2,60.59840981114684,-0.028363073292784646,-0.07198459036003235,True
benchmark,7,2018-06-30,3,100.0,0.0,-0.07198459036003235,True
benchmark,8,2023-10-31,0,0.0,-0.0516303261617066,-0.0516303261617066,True
benchmark,8,2023-11-30,1,78.99351679215809,-0.010845715795312905,-0.0516303261617066,True
benchmark,8,2023-12-31,2,100.0,0.0,-0.0516303261617066,True
benchmark,9,2019-05-31,0,0.0,-0.043553477336827684,-0.043553477336827684,True
benchmark,9,2019-06-30,1,87.8457335802712,-0.005293605670574242,-0.043553477336827684,True
benchmark,9,2019-07-31,2,100.0,0.0,-0.043553477336827684,True
benchmark,10,2016-09-30,0,0.0,-0.03412810184003967,-0.03412810184003967,True
benchmark,10,2016-10-31,1,64.74017415772919,-0.012033509272070808,-0.03412810184003967,True
benchmark,10,2016-11-30,2,100.0,0.0,-0.03412810184003967,True
benchmark,11,2021-09-30,0,0.0,-0.02577482145510923,-0.02577482145510923,True
benchmark,11,2021-10-31,1,100.0,0.0,-0.02577482145510923,True
benchmark,12,2016-01-31,0,0.0,-0.025380923708107517,-0.025380923708107517,True
benchmark,12,2016-02-29,1,100.0,0.0,-0.025380923708107517,True
benchmark,13,2016-04-30,0,0.0,-0.02101367084620953,-0.02101367084620953,True
benchmark,13,2016-05-31,1,100.0,0.0,-0.02101367084620953,True
