portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
benchmark,3,2019-03-31,3,100.0,0.0,-0.13221939349641643,True
benchmark,4,2020-10-31,0,0.0,-0.10692271557071331,-0.10692271557071331,True
benchmark,4,2020-11-30,1,70.20247488044427,-0.031860323030694415,-0.10692271557071331,True
benchmark,4,2020-12-31,2,88.51937719049204,-0.012275393672356638,-0.10692271557071331,True
benchmark,4,2021-01-31,3,100.0,0.0,-0.10692271557071331,True
benchmark,5,2025-04-30,0,0.0,-0.08727139198411604,-0.08727139198411604,True
benchmark,5,2025-05-31,1,24.08194306157649,-0.06625474505745599,-0.08727139198411604,True
benchmark,5,2025-06-30,2,61.076604053084836,-0.033968989450361864,-0.08727139198411604,True
benchmark,5,2025-07-31,3,100.0,0.0,-0.08727139198411604,True
benchmark,6,2026-07-31,0,0.0,-0.08234183406494822,-0.08234183406494822,False
benchmark,6,2026-08-31,1,0.8593307500953918,-0.0816342453646356,-0.08234183406494822,False
benchmark,7,2018-03-31,0,0.0,-0.07198488411502013,-0.07198488411502013,True
benchmark,7,2018-04-30,1,15.753302010275922,-0.06064488791863387,-0.07198488411502013,True
benchmark,7,2018-05-31,2,60.598407176851566,-0.028363190933215487,-0.07198488411502013,True
benchmark,7,2018-06-30,3,100.0,0.0,-0.07198488411502013,True
benchmark,8,2023-10-31,0,0.0,-0.05163032128596712,-0.05163032128596712,True
benchmark,8,2023-11-30,1,78.99351255467752,-0.01084571695891634,-0.05163032128596712,True
benchmark,8,2023-12-31,2,100.0,0.0,-0.05163032128596712,True
benchmark,9,2019-05-31,0,0.0,-0.043553831371028084,-0.043553831371028084,True
benchmark,9,2019-06-30,1,87.8455689173662,-0.005293720417838155,-0.043553831371028084,True
benchmark,9,2019-07-31,2,100.0,0.0,-0.043553831371028084,True
benchmark,10,2016-09-30,0,0.0,-0.0341278630744144,-0.0341278630744144,True
benchmark,10,2016-10-31,1,64.73944197243654,-0.012033674962921292,-0.0341278630744144,True
benchmark,10,2016-11-30,2,100.0,0.0,-0.0341278630744144,True
benchmark,11,2021-09-30,0,0.0,-0.025774976120872983,-0.025774976120872983,True
