point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_AIA_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct,weight_SCHD_pct
84,1.1401910121886958,21.821784652834168,15.771306475828897,32.71229014656011,52.91006744072071,0.0,14.37764241271918,0.0,0.0,0.0
85,1.1329122001629026,21.881020559097834,15.924921452768304,33.13500018090995,53.45727809567599,0.0,13.40772172341406,0.0,0.0,0.0
86,1.1256502103138475,21.9402564653615,16.080282792017652,33.55771021525996,54.00448875063106,0.0,12.437801034108977,0.0,0.0,0.0
87,1.1184103556664733,21.99949237162517,16.237340365274715,33.98042024960988,54.55169940558628,0.0,11.46788034480385,0.0,0.0,0.0
88,1.1111975506103586,22.058728277888843,16.396045427980546,34.40313028395971,55.09891006054156,0.0,10.497959655498727,0.0,0.0,0.0
89,1.104016329679414,22.117964184152513,16.556350602929538,34.825840318309616,55.64612071549675,0.0,9.528038966193638,0.0,0.0,0.0
90,1.0968708661882618,22.17720009041618,16.71820986140413,35.248550352659706,56.19333137045178,0.0,8.55811827688851,0.0,0.0,0.0
91,1.0897649906195697,22.236435996679845,16.881578502168473,35.67126038700943,56.74054202540716,0.0,7.588197587583394,0.0,0.0,0.0
92,1.0827022086732039,22.29567190294351,17.04641312862928,36.09397042135932,57.28775268036237,0.0,6.618276898278312,0.0,0.0,0.0
93,1.075685718903129,22.354907809207177,17.212671624446745,36.516680455709206,57.8349633353176,0.0,5.6483562089731825,0.0,0.0,0.0
94,1.06871842988155,22.414143715470846,17.38031312785432,36.93939049005922,58.38217399027269,0.0,4.678435519668094,0.0,0.0,0.0
95,1.0618029768419492,22.47337962173452,17.5492980049231,37.3621005244091,58.92938464522798,0.0,3.708514830362924,0.0,0.0,0.0
96,1.0549417377634949,22.532615527998185,17.71958782198479,37.78481055875903,59.47659530018312,0.0,2.7385941410578405,0.0,0.0,0.0
97,1.0481368488688347,22.59185143426185,17.891145317406792,38.20752059310898,60.023805955138265,0.0,1.7686734517527576,0.0,0.0,0.0
98,1.0413902195157025,22.651087340525525,18.063934372893527,38.63023062745884,60.571016610093565,0.0,0.7987527624475872,0.0,0.0,0.0
99,1.0340559303691614,22.710323246789184,18.24934216220929,33.13187475597795,66.86812524402211,0.0,0.0,0.0,0.0,0.0
100,1.0010969246364005,22.769559153052853,18.909334279802717,0.0029467571689198316,99.99705324283127,0.0,0.0,0.0,0.0,0.0
