point,ex_ante_sharpe,ex_post_sharpe,cagr_pct,monthly_gain_to_pain_ratio,pain_ratio,expected_return_pct,volatility_pct,maximum_drawdown_pct,mdd_depth_pct,tuw_pct,pain_area_pct_months,pain_index_pct,max_underwater_months,observations,delta_cagr_pct,delta_sharpe,delta_monthly_gain_to_pain_ratio,delta_pain_ratio,delta_mdd_depth_pct,delta_tuw_pct,delta_pain_index_pct,mdd_cost_per_0_10_sharpe,tuw_cost_per_0_10_sharpe,pain_cost_per_0_10_sharpe,segment
36,1.2235132105083495,1.6715096196206227,14.897850025745708,2.1837590178710635,11.014987672178124,14.325410282013326,8.570342709283791,-6.493482856638899,6.493482856638899,48.275862068965516,78.44541702717922,1.3525071901237795,12,58,0.18636514893264433,0.006976299015417409,0.0171794104085774,0.051872010837922033,0.1351278036519128,0.0,0.010599895586066443,1.9369554451907016,0.0,0.15194153178699762,gmv_to_max_sharpe
37,1.2334968619510769,1.6779610289193352,15.084242690418147,2.1996599744708467,11.063685116301947,14.494987265493808,8.638452869688566,-6.628502953282844,6.628502953282844,46.55172413793103,79.07727550516952,1.3634013018132676,12,58,0.18639266467243942,0.006451409298712463,0.01590095659978319,0.04869744412382282,0.1350200966439452,-1.724137931034484,0.010894111689488062,2.092877546474873,-26.724981336691474,0.1688640603172124,gmv_to_max_sharpe
38,1.2430241281009518,1.6839048468877835,15.27066218601818,2.214256107687358,11.109213586240212,14.664564248974289,8.708665620909366,-6.763415340946488,6.763415340946488,46.55172413793103,79.72647207774219,1.3745943461679688,12,58,0.1864194956000329,0.005943817968448339,0.014596133216511209,0.045528469938265204,0.13491238766364422,0.0,0.011193044354701254,2.2697933950837954,0.0,0.18831405023029751,gmv_to_max_sharpe
39,1.2521063048487004,1.6893586834348984,15.457107826357252,2.228706866273202,11.153949889758902,14.834141232454767,8.780930525833131,-6.8982200177367,6.8982200177367,46.55172413793103,80.37621316121039,1.3857967786415584,12,58,0.18644564033907152,0.005453836547114843,0.014450758585843992,0.044736303518689624,0.13480467679021224,0.0,0.01120243247358954,2.4717403175847985,0.0,0.20540462437430007,gmv_to_max_sharpe
40,1.2607551276855913,1.6943403556305974,15.643578923870848,2.243014411320663,11.197911711932147,15.003718215935248,8.855197343364452,-7.032916981839444,7.032916981839444,46.55172413793103,81.02649859416995,1.397008596451206,12,58,0.18647109751359636,0.004981672195699005,0.014307545047461012,0.043961822173244514,0.13469696410274334,0.0,0.01121181780964764,2.7038504102906615,0.0,0.2250613322034219,gmv_to_max_sharpe
41,1.2688525719042008,1.6986935983466638,15.829880551302544,2.2567859498447125,11.217952406014811,15.173295199415731,8.932332007481444,-7.186692709008691,7.186692709008691,46.55172413793103,81.84497836550506,1.4111203166466388,12,58,0.1863016274316962,0.004353242716066408,0.013771538524049554,0.020040694082664956,0.15377572716924703,0.0,0.01411172019543283,3.5324409227565163,0.0,0.32416571084702095,gmv_to_max_sharpe
42,1.2759282756112469,1.7017944646761742,16.015695061271717,2.2671427368504378,11.208169963443465,15.342872182896212,9.015702249222985,-7.352325958565398,7.352325958565398,44.827586206896555,82.87796460827154,1.4289304242805438,12,58,0.18581450996917326,0.0031008663295104544,0.010356787005725288,-0.009782442571346195,0.16563324955670744,-1.7241379310344769,0.017810107633905004,5.341515304300673,-55.60181406809217,0.574359090051997,gmv_to_max_sharpe
43,1.2819734077916254,1.7036412704658217,16.201045824746487,2.277365468072266,11.191335819535857,15.512449166376694,9.105466881613625,-7.518263631716204,7.518263631716204,44.827586206896555,83.96322592652457,1.447641826319389,12,58,0.1853507634747693,0.0018468057896474654,0.010222731221828152,-0.016834143907608734,0.16593767315080576,0.0,0.01871140203884525,8.985117659961496,0.0,1.0131764879520464,gmv_to_max_sharpe
44,1.2870317016199295,1.7043015282877987,16.385929672998657,2.284686158030001,11.168732200110641,15.68202614985717,9.201438765129716,-7.684504318143692,7.684504318143692,46.55172413793103,85.09326788447011,1.467125308352933,12,58,0.18488384825216997,0.0006602578219769839,0.007320689957734938,-0.02260361942521527,0.16624068642748835,1.7241379310344769,0.019483482033543886,25.178147216752457,261.13101180262566,2.950889998577414,gmv_to_max_sharpe
45,1.2905693889618548,1.703079317529685,16.56975147965727,2.27132164502227,10.840801111798882,15.851603133337653,9.30761296328252,-7.981259297435628,7.981259297435628,44.827586206896555,88.65079027915579,1.528461901364755,12,58,0.1838218066586137,-0.0012222107581136843,-0.013364513007730672,-0.3279310883117592,0.2967549792919355,-1.7241379310344769,0.06133659301182193,,,,post_max_sharpe
