date,year,month,series::Portfolio 1::return,series::Portfolio 1::balance,series::benchmark::return,series::benchmark::balance,asset::QQQ::return,asset::SPY::return,asset::GLD::return,asset::IEF::return
2016-05-31,2016,5,-0.00030058510485346594,27510.12011949066,0.017011845099205836,22459.245434543373,0.04370007779117713,0.017011845099205836,-0.06138296703293311,-0.0009927186208842365
2016-04-30,2016,4,0.006792280379356929,27518.39173815667,0.003941059856149787,22083.56327683927,-0.031867874643727534,0.003941059856149787,0.051088083708025867,-0.0015610029677750603
2016-03-31,2016,3,0.038142769527352884,27332.740103835327,0.06726580720100084,21996.872286510057,0.06852613386735995,0.06726580720100084,-0.008428860461434318,-0.00066154654725048
2016-02-29,2016,2,0.029333082376673657,26328.49826260353,-0.0008260177368178967,20610.49097431389,-0.015653782374934533,-0.0008260177368178967,0.10930343875618398,0.014859907833441932
2016-01-31,2016,1,-0.0161005708273775,25578.210506760817,-0.04978651810780821,20627.529679696054,-0.06910407755212511,-0.04978651810780821,0.05410997351969926,0.03333615814692714
2015-12-31,2015,12,-0.011776146802356878,25996.773398140864,-0.01728268805016342,21708.31089306349,-0.015947804738359994,-0.01728268805016342,-0.004513334897339294,-0.004529984965980671
2015-11-30,2015,11,-0.017760686151868897,26306.563350016153,0.003655419970505225,22090.08697525785,0.006088565168700377,0.003655419970505225,-0.06752062833262484,-0.004276931938431261
2015-10-31,2015,10,0.06584065223152427,26782.23420619829,0.0850595807372243,22009.632524982546,0.11369876935914669,0.0850595807372243,0.022833636790845047,-0.006369438346405354
2015-09-30,2015,9,-0.018100811340182564,25127.8032510066,-0.025515909529014724,20284.261726926088,-0.022072887067305702,-0.025515909529014724,-0.01801138660144541,0.01579243619147186
2015-08-31,2015,8,-0.027557702106295944,25591.02150323929,-0.06095014790036435,20815.3852128282,-0.06824471198137538,-0.06095014790036435,0.03707232801234017,0.000790574545239231
2015-07-31,2015,7,0.0021053606060796003,26316.236509527684,0.02258928959607065,22166.432555509986,0.045577333872289794,0.02258928959607065,-0.06620986259282224,0.015183323434181384
2015-06-30,2015,6,-0.019725358875445166,26260.947744667745,-0.02031194036922912,21676.76972664741,-0.024840855598013523,-0.02031194036922912,-0.015162101232906178,-0.016308897154005186
2015-05-31,2015,5,0.011851451595358997,26789.37783654346,0.012855773276249094,22126.1956941856,0.02248465487303153,0.012855773276249094,0.005552104050766671,-0.004163080646551909
2015-04-30,2015,4,0.007582709353034234,26475.60350316775,0.009833955177341425,21845.35674078726,0.019223414240957526,0.009833955177341425,-0.0016716737223684275,-0.006329993557449232
