date,portfolio,market_type,benchmark_return,portfolio_return,active_return,benchmark_return_pct,portfolio_return_pct,active_return_pct
2024-07-31,Portfolio 2,up,0.012109116371118,0.018045367893643728,0.005936251522525728,1.2109116371118,1.804536789364373,0.5936251522525727
2024-08-31,Portfolio 2,up,0.023365511649519943,0.011430167190588576,-0.011935344458931367,2.3365511649519943,1.1430167190588576,-1.1935344458931367
2024-09-30,Portfolio 2,up,0.021004669157534295,0.035121533931139044,0.01411686477360475,2.1004669157534295,3.5121533931139046,1.411686477360475
2024-10-31,Portfolio 2,down,-0.008923539734813524,0.009697354352873631,0.018620894087687155,-0.8923539734813524,0.9697354352873632,1.8620894087687154
2024-11-30,Portfolio 2,up,0.059633644566613464,0.009104632555551306,-0.050529012011062156,5.963364456661346,0.9104632555551306,-5.0529012011062155
2024-12-31,Portfolio 2,down,-0.024060374693348985,-0.02938866523552769,-0.005328290542178704,-2.4060374693348985,-2.938866523552769,-0.5328290542178704
2025-01-31,Portfolio 2,up,0.026856560576482114,0.051271200409710296,0.024414639833228183,2.6856560576482114,5.12712004097103,2.4414639833228184
2025-02-28,Portfolio 2,down,-0.012694941488541445,0.010042723143444784,0.02273766463198623,-1.2694941488541445,1.0042723143444783,2.2737664631986227
2025-03-31,Portfolio 2,down,-0.0557192122565362,0.011986481017895373,0.06770569327443157,-5.57192122565362,1.1986481017895372,6.770569327443157
2025-04-30,Portfolio 2,down,-0.008670167189502642,-0.009499377984211636,-0.0008292107947089934,-0.8670167189502642,-0.9499377984211635,-0.08292107947089934
2025-05-31,Portfolio 2,up,0.06284505165897136,0.04823137785740214,-0.014613673801569221,6.284505165897136,4.823137785740214,-1.461367380156922
2025-06-30,Portfolio 2,up,0.051386124993305415,0.057482229884830274,0.006096104891524859,5.1386124993305415,5.748222988483027,0.6096104891524858
2025-07-31,Portfolio 2,up,0.023031648578059727,0.01432065712818928,-0.008710991449870448,2.3031648578059727,1.432065712818928,-0.8710991449870448
2025-08-31,Portfolio 2,up,0.02051948204102305,0.05559062820570164,0.03507114616467859,2.051948204102305,5.559062820570164,3.5071146164678586
2025-09-30,Portfolio 2,up,0.03562033510828466,0.09877203639182011,0.06315170128353545,3.562033510828466,9.877203639182012,6.315170128353545
2025-10-31,Portfolio 2,up,0.02383739357630099,0.017288392038045334,-0.0065490015382556575,2.383739357630099,1.7288392038045335,-0.6549001538255658
2025-11-30,Portfolio 2,up,0.0019500049129079766,0.04002093992778197,0.03807093501487399,0.19500049129079766,4.002093992778197,3.8070935014873992
2025-12-31,Portfolio 2,up,0.0007975029584423865,0.05125889350291869,0.050461390544476306,0.07975029584423865,5.125889350291869,5.046139054447631
2026-01-31,Portfolio 2,up,0.014737818820090842,0.07895739035692623,0.06421957153683538,1.4737818820090842,7.895739035692623,6.421957153683539
2026-02-28,Portfolio 2,down,-0.008642046247570145,0.06275484782551198,0.07139689407308213,-0.8642046247570145,6.275484782551198,7.139689407308213
2026-03-31,Portfolio 2,down,-0.04937956664344334,-0.08447387315567667,-0.03509430651223333,-4.937956664344334,-8.447387315567667,-3.509430651223333
2026-04-30,Portfolio 2,up,0.10505268686597247,0.07152286522510083,-0.033529821640871635,10.505268686597248,7.152286522510083,-3.3529821640871633
2026-05-31,Portfolio 2,up,0.05262575303750272,0.05786432390406429,0.0052385708665615704,5.262575303750272,5.786432390406429,0.523857086656157
2026-06-30,Portfolio 2,down,-0.010292566443839024,-0.04605858221500737,-0.03576601577116834,-1.0292566443839024,-4.605858221500736,-3.5766015771168345
2026-07-31,Portfolio 2,up,0.00034817917005858234,-0.019681539452187785,-0.020029718622246367,0.034817917005858234,-1.9681539452187784,-2.0029718622246366
2026-08-31,Portfolio 2,up,0.0267994025821654,0.07729129253994754,0.05049188995778214,2.67994025821654,7.7291292539947545,5.049188995778215
2020-01-31,Portfolio 3,down,-0.00040359792991706556,-0.006085982455913918,-0.005682384525996852,-0.040359792991706556,-0.6085982455913918,-0.5682384525996852
2020-02-29,Portfolio 3,down,-0.07916585498240936,-0.06602538155864768,0.013140473423761678,-7.916585498240936,-6.602538155864767,1.3140473423761678
2020-03-31,Portfolio 3,down,-0.12487122681574148,-0.12146166573097383,0.0034095610847676427,-12.487122681574148,-12.146166573097384,0.3409561084767643
2020-04-30,Portfolio 3,up,0.12698362069856084,0.12427157088135321,-0.002712049817207629,12.698362069856085,12.42715708813532,-0.2712049817207629
2020-05-31,Portfolio 3,up,0.047645363596478196,0.06255705169064928,0.01491168809417108,4.76453635964782,6.255705169064927,1.491168809417108
2020-06-30,Portfolio 3,up,0.01773383928947392,0.044343822154276354,0.026609982864802435,1.7733839289473918,4.434382215427635,2.6609982864802437
2020-07-31,Portfolio 3,up,0.05889249128473706,0.08630794655883159,0.02741545527409453,5.889249128473706,8.63079465588316,2.741545527409453
2020-08-31,Portfolio 3,up,0.06979677232908776,0.08176997759068676,0.011973205261598993,6.979677232908776,8.176997759068676,1.1973205261598994
2020-09-30,Portfolio 3,down,-0.03744374681658469,-0.057582561724158765,-0.020138814907574076,-3.744374681658469,-5.7582561724158765,-2.0138814907574076
2020-10-31,Portfolio 3,down,-0.024933704675197732,-0.016040116098714818,0.008893588576482914,-2.493370467519773,-1.6040116098714818,0.8893588576482915
2020-11-30,Portfolio 3,up,0.10877714796768156,0.08834427050987922,-0.02043287745780234,10.877714796768156,8.834427050987923,-2.043287745780234
2020-12-31,Portfolio 3,up,0.03704790898719135,0.07562279669636918,0.03857488770917783,3.7047908987191347,7.562279669636918,3.857488770917783
2021-01-31,Portfolio 3,down,-0.010190104642821995,0.0030256613487536716,0.013215765991575666,-1.0190104642821995,0.30256613487536715,1.3215765991575665
2021-02-28,Portfolio 3,up,0.027805706239982797,0.022033314889401173,-0.0057723913505816245,2.7805706239982797,2.203331488940117,-0.5772391350581625
2021-03-31,Portfolio 3,up,0.045398910516703195,0.006380649498937924,-0.039018261017765274,4.5398910516703195,0.6380649498937925,-3.9018261017765274
2021-04-30,Portfolio 3,up,0.052910584704057406,0.028648171218990867,-0.02426241348506654,5.291058470405741,2.8648171218990868,-2.426241348506654
2021-05-31,Portfolio 3,up,0.006566213017263678,0.02692548023249583,0.020359267215232152,0.6566213017263678,2.692548023249583,2.0359267215232153
2021-06-30,Portfolio 3,up,0.02242729381075259,0.017315432915240486,-0.005111860895512105,2.242729381075259,1.7315432915240487,-0.5111860895512105
2021-07-31,Portfolio 3,up,0.024412506228186137,-0.00425245395948454,-0.028664960187670677,2.4412506228186137,-0.425245395948454,-2.8664960187670676
2021-08-31,Portfolio 3,up,0.029760090211334633,0.01877539736418319,-0.010984692847151444,2.9760090211334633,1.877539736418319,-1.0984692847151443
2021-09-30,Portfolio 3,down,-0.04660540136389901,-0.025796597906157535,0.020808803457741477,-4.660540136389901,-2.5796597906157537,2.0808803457741476
2021-10-31,Portfolio 3,up,0.07016344857641399,0.049769997527702045,-0.020393451048711944,7.016344857641399,4.976999752770205,-2.0393451048711944
2021-11-30,Portfolio 3,down,-0.008034986144266232,-0.013240751339632373,-0.005205765195366141,-0.8034986144266232,-1.3240751339632373,-0.5205765195366141
2021-12-31,Portfolio 3,up,0.04624778938474572,0.021486554791243968,-0.02476123459350175,4.624778938474572,2.148655479124397,-2.476123459350175
2022-01-31,Portfolio 3,down,-0.05274131684383154,-0.03141104375234861,0.021330273091482936,-5.274131684383154,-3.141104375234861,2.1330273091482934
2022-02-28,Portfolio 3,down,-0.029516983607058456,-0.0004579596878287722,0.029059023919229682,-2.9516983607058456,-0.04579596878287722,2.905902391922968
2022-03-31,Portfolio 3,up,0.03759046075111683,0.02989328400700958,-0.007697176744107248,3.7590460751116828,2.989328400700958,-0.7697176744107248
2022-04-30,Portfolio 3,down,-0.08776902633846118,-0.07922152300917897,0.00854750332928221,-8.776902633846117,-7.9221523009178965,0.8547503329282211
2022-05-31,Portfolio 3,up,0.0022572913461289534,0.008265304961919927,0.006008013615790973,0.22572913461289534,0.8265304961919927,0.6008013615790974
