point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
67,0.19582299299725775,0.14311160283289223,1.10003774882513,0.2849560495316845,0.11272505364265874,0.18814744468042022,0.0,0.0,0.0,0.0,0.0,0.41417145214523654
68,0.19751876206545121,0.1460594769004315,1.0894461479395743,0.2879850482968351,0.09971209884010525,0.19749109870670195,0.0,0.0,0.0,0.0,0.0,0.4148117541563578
69,0.19921453113364465,0.149043487618962,1.0790119455509677,0.291014047061986,0.08669914403755136,0.20683475273298357,0.0,0.0,0.0,0.0,0.0,0.41545205616747904
70,0.20091030020183806,0.15206150759803555,1.0687482662951755,0.2940430458271368,0.07368618923499805,0.21617840675926503,0.0,0.0,0.0,0.0,0.0,0.41609235817860013
71,0.2026060692700315,0.1551115516862589,1.0586654565610398,0.29707204459228775,0.060673234432444524,0.22552206078554624,0.0,0.0,0.0,0.0,0.0,0.4167326601897216
72,0.20430183833822496,0.15819176755513656,1.0487714583136725,0.3001010433574387,0.04766027962989022,0.23486571481182822,0.0,0.0,0.0,0.0,0.0,0.4173729622008428
73,0.20599760740641837,0.16130042672009723,1.0390721415204354,0.3031300421225894,0.0346473248273372,0.24420936883810948,0.0,0.0,0.0,0.0,0.0,0.41801326421196405
74,0.20769337647461178,0.16443591602846494,1.0295715983307334,0.30615904088774015,0.021634370024783627,0.25355302286439096,0.0,0.0,0.0,0.0,0.0,0.41865356622308525
75,0.20938914554280522,0.16759672962896116,1.0202724023025926,0.30918803965289093,0.008621415222229895,0.2628966768906727,0.0,0.0,0.0,0.0,0.0,0.4192938682342066
76,0.2110849146109986,0.1707839118294005,1.0111613276389602,0.30848867281415265,0.0,0.27425347263579264,0.0,0.0,0.0,0.0,0.0,0.4172578545500547
77,0.212780683679192,0.17402657281936817,1.0020645311103717,0.3004698255555108,0.0,0.2895624428613769,0.0,0.0,0.0,0.0,0.0,0.4099677315831122
78,0.21447645274738547,0.17733076463694994,0.9929558783647682,0.2924509782968689,0.0,0.30487141308696125,0.0,0.0,0.0,0.0,0.0,0.40267760861616997
79,0.21617222181557894,0.1806931118171467,0.9838637037214499,0.2844321310382269,0.0,0.3201803833125456,0.0,0.0,0.0,0.0,0.0,0.3953874856492275
80,0.2178679908837723,0.1841104281717101,0.9748125898125675,0.2764132837795853,0.0,0.3354893535381293,0.0,0.0,0.0,0.0,0.0,0.38809736268228545
81,0.21956375995196575,0.18757970944893032,0.9658237178103913,0.268394436520943,0.0,0.35079832376371406,0.0,0.0,0.0,0.0,0.0,0.3808072397153429
82,0.22125952902015916,0.19109812548606492,0.956915202432412,0.26037558926230125,0.0,0.366107293989298,0.0,0.0,0.0,0.0,0.0,0.3735171167484008
83,0.22295529808835257,0.19466301205827105,0.9481024081087308,0.25235674200365943,0.0,0.3814162642148821,0.0,0.0,0.0,0.0,0.0,0.36622699378145845
84,0.22465106715654606,0.1982718625899233,0.9393982440945969,0.24433789474501755,0.0,0.3967252344404665,0.0,0.0,0.0,0.0,0.0,0.35893687081451603
85,0.22634683622473947,0.20192231986118903,0.9308134374037486,0.23631904748637556,0.0,0.41203420466605084,0.0,0.0,0.0,0.0,0.0,0.3516467478475736
86,0.2280426052929329,0.20561216781440556,0.922356783271262,0.22830020022773367,0.0,0.42734317489163487,0.0,0.0,0.0,0.0,0.0,0.34435662488063157
87,0.22973837436112635,0.20933932354080617,0.9140353734716313,0.2202813529690919,0.0,0.4426521451172193,0.0,0.0,0.0,0.0,0.0,0.3370665019136888
88,0.23143414342931976,0.2131018295080391,0.9058548032588832,0.2122625057104501,0.0,0.45796111534280326,0.0,0.0,0.0,0.0,0.0,0.32977637894674666
89,0.2331299124975132,0.21689784607227547,0.8978193579959111,0.2042436584518081,0.0,0.4732700855683874,0.0,0.0,0.0,0.0,0.0,0.32248625597980457
90,0.23482568156570663,0.22072564430505065,0.8899321807303248,0.19622481119316618,0.0,0.4885790557939719,0.0,0.0,0.0,0.0,0.0,0.31519613301286203
91,0.2365214506339,0.2245835991539342,0.8821954220792992,0.18820596393452454,0.0,0.503888026019556,0.0,0.0,0.0,0.0,0.0,0.3079060100459195
92,0.23821721970209347,0.22847018294726842,0.8746103738272323,0.1801871166758827,0.0,0.5191969962451402,0.0,0.0,0.0,0.0,0.0,0.30061588707897713
93,0.2399129887702869,0.23238395924622182,0.8671775876344457,0.17216826941724075,0.0,0.5345059664707243,0.0,0.0,0.0,0.0,0.0,0.293325764112035
94,0.24160875783848035,0.23632357704196405,0.8598969802161919,0.164149422158599,0.0,0.5498149366963083,0.0,0.0,0.0,0.0,0.0,0.2860356411450928
95,0.24330452690667378,0.24028776529161167,0.8527679262895046,0.1561305748999568,0.0,0.565123906921893,0.0,0.0,0.0,0.0,0.0,0.2787455181781503
96,0.24500029597486717,0.24427532778349148,0.8457893405091688,0.14811172764131508,0.0,0.5804328771474769,0.0,0.0,0.0,0.0,0.0,0.271455395211208
97,0.24669606504306058,0.24828513832002877,0.83895974952944,0.14009288038267323,0.0,0.595741847373061,0.0,0.0,0.0,0.0,0.0,0.2641652722442657
98,0.24839183411125404,0.25310504827071395,0.8296832005517343,0.20738298679642142,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.19261701320357863
99,0.25008760317944745,0.2607544891859617,0.8118470989861581,0.303691490812841,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.09630850918715897
100,0.251783371354422,0.2711031653021449,0.787111959871045,0.3999999948292571,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
